Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
1,Workspace & Foundation,1.1,Wire Admin app into workspace & gateway routing,Workspace: Admin frontend/backend wired into monorepo + gateway,Workspace / Gateway,Hardening,Non-AI,Low,2,Done,2026-02-01,2026-02-01,None,Backlog § Task 1.1 Checklist,
1,Workspace & Foundation,1.2,Admin backend skeleton (NestJS service),Backend: Admin NestJS service skeleton with core modules,Admin Backend,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,1.1,Backlog § Task 1.2 Checklist,
1,Workspace & Foundation,1.3,"Admin DB schema & migrations (user approval, fees & payments)","Data: admin-owned tables for approvals, fees, payments",Admin Backend — Data,Hardening,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,1.2,Backlog § Task 1.3 Checklist,
1,Workspace & Foundation,1.4,Shared contracts for Admin APIs in @mindforge/shared,Shared: Admin DTOs/enums in @mindforge/shared,Shared,Feature,Non-AI,Low,1,Done,2026-02-01,2026-02-01,1.2,Backlog § Task 1.4 Checklist,
2,User Approval & Lifecycle,2.1,User approval APIs (pending → active/disabled),Backend: approve/reject/activate/deactivate users,Admin Backend — User Management,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,1.3,Backlog § Task 2.1 Checklist,
2,User Approval & Lifecycle,2.2,Default MPIN and first-login change flagging,Backend: default 000000 MPIN + must-change-on-first-login flag,Admin Backend — User Management,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,2.1,Backlog § Task 2.2 Checklist,
2,User Approval & Lifecycle,2.3,User account status & audit logging,Backend: audit logs for account status changes,Admin Backend — Audit Trail,Hardening,Non-AI,Medium,2,Done,2026-02-01,2026-02-01,2.1,Backlog § Task 2.3 Checklist,
3,Fees Config & Payment Info,3.1,Grade fee configuration APIs,Backend: CRUD + propagation for grade fee configs,Admin Backend — Fees,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,1.3,Backlog § Task 3.1 Checklist,
3,Fees Config & Payment Info,3.2,Extra subject fee configuration APIs,Backend: per-student extra subject fee configs,Admin Backend — Fees,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,1.3,Backlog § Task 3.2 Checklist,
3,Fees Config & Payment Info,3.3,"Payment Info configuration APIs (QR, UPI, bank details)",Backend: config for Parent Pay Info (QR/UPI/bank),Admin Backend — Payment Info,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,1.3,Backlog § Task 3.3 Checklist,
4,Payment Entry & Ledger,4.1,Fee payment entry APIs (create & edit),Backend: record/correct fee payments,Admin Backend — Payments,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,"1.3, 3.1, 3.2",Backlog § Task 4.1 Checklist,
4,Payment Entry & Ledger,4.2,Fee summary and history APIs for Admin & Parent,Backend: fee summary/history for Admin & Parent,Admin Backend — Payments,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,4.1,Backlog § Task 4.2 Checklist,
4,Payment Entry & Ledger,4.3,Admin fee KPIs & collection reports (backend only),Backend: fee KPIs & collection over time,Admin Backend — Analytics,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,4.2,Backlog § Task 4.3 Checklist,
5,"Frontend Shell, Dashboard & Users",5.1,Admin frontend app shell & sidebar navigation,Frontend: app shell + sidebar nav for Admin,Admin Frontend,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,"1.1, 1.4",Backlog § Task 5.1 Checklist,
5,"Frontend Shell, Dashboard & Users",5.2,Dashboard screen,"Frontend: dashboard with KPIs, approvals table, fee chart",Admin Frontend — Dashboard,Feature,Non-AI,Low,3,Done,2026-02-01,2026-02-01,"5.1, 2.1, 4.3",Backlog § Task 5.2 Checklist,
5,"Frontend Shell, Dashboard & Users",5.3,Users screen (approvals & account statuses),Frontend: Users screen for approvals & status management,Admin Frontend — Users,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,"5.1, 2.1, 2.2, 2.3",Backlog § Task 5.3 Checklist,
6,Frontend Fees & Payments,6.1,Fees configuration screen (grade & extra subject),Frontend: grade fees + extra subject fees screen,Admin Frontend — Fees,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,"5.1, 3.1, 3.2",Backlog § Task 6.1 Checklist,
6,Frontend Fees & Payments,6.2,Payments ledger & entry screen,Frontend: payments ledger + record/edit flows,Admin Frontend — Payments,Feature,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,"5.1, 4.1, 4.2",Backlog § Task 6.2 Checklist,
6,Frontend Fees & Payments,6.3,Accessibility & table performance tuning,Frontend: accessibility + performance for tables/modals,Admin Frontend — Accessibility,Hardening,Non-AI,Low,2,Done,2026-02-01,2026-02-01,"5.2, 5.3, 6.1, 6.2",Backlog § Task 6.3 Checklist,
7,Frontend Payment Info & Audit,7.1,Payment Info configuration screen,Frontend: Payment Info screen for QR/UPI/bank,Admin Frontend — Payment Info,Feature,Non-AI,Low,3,Done,2026-02-01,2026-02-01,"5.1, 3.3",Backlog § Task 7.1 Checklist,
7,Frontend Payment Info & Audit,7.2,Audit Logs screen (simple v1),Frontend: basic audit logs table,Admin Frontend — Audit Logs,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,"2.3, 3.1, 3.2, 3.3, 4.1, 4.3",Backlog § Task 7.2 Checklist,
7,Frontend Payment Info & Audit,7.3,Empty/error/offline states across Admin screens,Frontend: consistent UX states across Admin,Admin Frontend — UX Polish,Hardening,Non-AI,Low,3,Done,2026-02-01,2026-02-01,"5.2, 5.3, 6.1, 6.2, 7.1, 7.2",Backlog § Task 7.3 Checklist,
8,Hardening & Validation,8.1,"Admin service observability (logs, metrics, tracing)",DevOps: observability for Admin backend,DevOps / Admin Backend,Hardening,Non-AI,Low,2,Done,2026-02-01,2026-02-01,1.2–4.3,Backlog § Task 8.1 Checklist,
8,Hardening & Validation,8.2,"Security review: RBAC, approval states & fee/payment changes",Security: review of Admin RBAC and operations,Admin Backend — Security,Hardening,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,2.1–4.3,Backlog § Task 8.2 Checklist,
8,Hardening & Validation,8.3,Cross-app integration validation (Student/Teacher/Parent),Integration: validate Admin vs other apps,Integration,Hardening,Non-AI,Medium,3,Done,2026-02-01,2026-02-01,2.1–4.3,Backlog § Task 8.3 Checklist,
