Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
1,Workspace & Foundation,1.1,Wire Parent app into workspace & gateway routing,Workspace: Parent frontend/backend wired into monorepo + gateway,Workspace / Gateway,Hardening,Non-AI,Low,2,Done,2026-02-01,2026-02-01,None,Backlog § Task 1.1 Checklist,RBAC updated for Parent; gateway proxy maps /api/parent → :3002
1,Workspace & Foundation,1.2,Parent backend skeleton (NestJS service),Backend: Parent NestJS service skeleton with core modules,Parent Backend,Feature,Non-AI,Low,2,Done,2026-02-01,2026-02-01,1.1,Backlog § Task 1.2 Checklist,Full NestJS skeleton: 7 modules + guards + filters + Swagger
1,Workspace & Foundation,1.3,Parent DB schema & migrations (parent_accounts & support),Data: parent_accounts and login attempts schema,Parent Backend — Data,Hardening,Non-AI,Low,3,Done,2026-02-01,2026-02-02,1.2,Backlog § Task 1.3 Checklist,parent_accounts + parent_login_attempts + student_external_id + dev seeder
1,Workspace & Foundation,1.4,Shared contracts for Parent APIs in @mindforge/shared,Shared: Parent DTOs/enums in @mindforge/shared,Shared,Feature,Non-AI,Low,1,Done,2026-02-02,2026-02-02,1.2,Backlog § Task 1.4 Checklist,ParentProfileDto ChildSummaryDto ParentDashboardDto etc in shared
2,Auth & Linkage,2.1,Parent MPIN auth API (mobile + MPIN),Backend: mobile + 6-digit MPIN login for parents,Parent Backend — Auth,Feature,Non-AI,Medium,3,Done,2026-02-02,2026-02-02,1.3,Backlog § Task 2.1 Checklist,POST /v1/parent/auth/login; JWT with linkedStudentId
2,Auth & Linkage,2.2,Lockout & rate limiting for Parent login,Backend: lockout & rate limits for MPIN attempts,Parent Backend — Auth,Hardening,Non-AI,Medium,2,Done,2026-02-02,2026-02-02,2.1,Backlog § Task 2.2 Checklist,5 attempts → 15 min lockout; retryAfter
2,Auth & Linkage,2.3,Parent profile & parent↔student linkage enforcement,Backend: profile + enforce one child per parent,Parent Backend — Profile & Linkage,Feature,Non-AI,Low,3,Done,2026-02-02,2026-02-03,2.1,Backlog § Task 2.3 Checklist,GET /v1/parent/profile; GET /v1/parent/auth/me
3,Read APIs,3.1,Academic progress read APIs (tests & summary),Backend: read-only tests & progress for child,Parent Backend — Academic Progress,Feature,Non-AI,Medium,3,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.1 Checklist,Teacher cross-app sync; ProgressController
3,Read APIs,3.2,Attendance read APIs (weekly/monthly/yearly),Backend: attendance views for child,Parent Backend — Attendance,Feature,Non-AI,Medium,3,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.2 Checklist,Teacher calendar merge; AttendanceController
3,Read APIs,3.3,"Fees summary, history & pay info APIs",Backend: fees summary/history + pay info,Parent Backend — Fees & Pay Info,Feature,Non-AI,Low,2,Done,2026-02-04,2026-02-04,2.3,Backlog § Task 3.3 Checklist,Config-driven stub; FeesController
